"PassengerId","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked.S","Embarked.C"
892,0.872,0.755,0.298,-0.499,-0.4,-0.497,-1.349,-0.567
893,0.872,-1.321,1.18,0.616,-0.4,-0.512,0.739,-0.567
894,-0.315,0.755,2.237,-0.499,-0.4,-0.464,-1.349,-0.567
895,0.872,0.755,-0.231,-0.499,-0.4,-0.482,0.739,-0.567
896,0.872,-1.321,-0.583,0.616,0.619,-0.417,0.739,-0.567
897,0.872,0.755,-1.147,-0.499,-0.4,-0.472,0.739,-0.567
898,0.872,-1.321,-0.019,-0.499,-0.4,-0.501,-1.349,-0.567
899,-0.315,0.755,-0.301,0.616,0.619,-0.119,0.739,-0.567
900,0.872,-1.321,-0.865,-0.499,-0.4,-0.508,-1.349,1.758
901,0.872,0.755,-0.654,1.731,-0.4,-0.205,0.739,-0.567
902,0.872,0.755,0.999,-0.499,-0.4,-0.496,0.739,-0.567
903,-1.503,0.755,1.109,-0.499,-0.4,-0.172,0.739,-0.567
904,-1.503,-1.321,-0.513,0.616,-0.4,0.834,0.739,-0.567
905,-0.315,0.755,2.308,0.616,-0.4,-0.172,0.739,-0.567
906,-1.503,-1.321,1.18,0.616,-0.4,0.457,0.739,-0.567
907,-0.315,-1.321,-0.442,0.616,-0.4,-0.141,-1.349,1.758
908,-0.315,0.755,0.333,-0.499,-0.4,-0.416,-1.349,-0.567
909,0.872,0.755,-0.654,-0.499,-0.4,-0.508,-1.349,1.758
910,0.872,-1.321,-0.231,0.616,-0.4,-0.495,0.739,-0.567
911,0.872,-1.321,1.039,-0.499,-0.4,-0.508,-1.349,1.758
912,-1.503,0.755,1.744,0.616,-0.4,0.425,-1.349,1.758
913,0.872,0.755,-1.5,-0.499,0.619,-0.581,0.739,-0.567
914,-1.503,-1.321,0.461,-0.499,-0.4,-0.071,0.739,-0.567
915,-1.503,0.755,-0.654,-0.499,0.619,0.461,-1.349,1.758
916,-1.503,-1.321,1.25,0.616,2.657,4.056,-1.349,1.758
917,0.872,0.755,1.391,0.616,-0.4,-0.378,0.739,-0.567
918,-1.503,-1.321,-0.583,-0.499,0.619,0.471,-1.349,1.758
919,0.872,0.755,-0.548,-0.499,-0.4,-0.508,-1.349,1.758
920,-1.503,0.755,0.756,-0.499,-0.4,-0.092,0.739,-0.567
921,0.872,0.755,-0.208,1.731,-0.4,-0.249,-1.349,1.758
922,-0.315,0.755,1.391,0.616,-0.4,-0.172,0.739,-0.567
923,-0.315,0.755,-0.442,1.731,-0.4,-0.074,0.739,-0.567
924,0.872,-1.321,0.192,0.616,1.638,-0.269,0.739,-0.567
925,0.872,-1.321,0.755,0.616,1.638,-0.218,0.739,-0.567
926,-1.503,0.755,-0.019,0.616,-0.4,0.396,-1.349,1.758
927,0.872,0.755,-0.83,-0.499,-0.4,-0.508,-1.349,1.758
928,0.872,-1.321,-0.742,-0.499,-0.4,-0.493,0.739,-0.567
929,0.872,-1.321,-0.654,-0.499,-0.4,-0.482,0.739,-0.567
930,0.872,0.755,-0.372,-0.499,-0.4,-0.467,0.739,-0.567
931,0.872,0.755,-0.215,-0.499,-0.4,0.373,0.739,-0.567
932,0.872,0.755,0.615,-0.499,0.619,-0.397,-1.349,1.758
933,-1.503,0.755,1.849,-0.499,-0.4,-0.162,0.739,-0.567
934,0.872,0.755,0.756,-0.499,-0.4,-0.497,0.739,-0.567
935,-0.315,-1.321,-0.019,-0.499,-0.4,-0.405,0.739,-0.567
936,-1.503,-1.321,1.039,0.616,-0.4,0.303,0.739,-0.567
937,0.872,0.755,-0.372,-0.499,-0.4,-0.495,0.739,-0.567
938,-1.503,0.755,1.039,-0.499,-0.4,-0.106,-1.349,1.758
939,0.872,0.755,-0.141,-0.499,-0.4,-0.499,-1.349,-0.567
940,-1.503,-1.321,2.096,-0.499,-0.4,0.727,-1.349,1.758
941,0.872,-1.321,0.404,-0.499,1.638,-0.353,0.739,-0.567
942,-1.503,0.755,-0.442,0.616,-0.4,0.436,0.739,-0.567
943,-0.315,0.755,-0.231,-0.499,-0.4,-0.368,-1.349,1.758
944,-0.315,-1.321,-0.724,1.731,0.619,-0.226,0.739,-0.567
945,-1.503,-1.321,-0.16,2.847,1.638,4.067,0.739,-0.567
946,-0.315,0.755,0.783,-0.499,-0.4,-0.359,-1.349,1.758
947,0.872,0.755,-1.43,3.962,0.619,-0.116,-1.349,-0.567
948,0.872,0.755,0.333,-0.499,-0.4,-0.496,0.739,-0.567
949,0.872,0.755,-0.372,-0.499,-0.4,-0.5,0.739,-0.567
950,0.872,0.755,-0.903,0.616,-0.4,-0.349,0.739,-0.567
951,-1.503,-1.321,0.404,-0.499,-0.4,4.056,-1.349,1.758
952,0.872,0.755,-0.936,-0.499,-0.4,-0.496,0.739,-0.567
953,-0.315,0.755,0.122,-0.499,-0.4,-0.396,0.739,-0.567
954,0.872,0.755,-0.865,-0.499,-0.4,-0.499,0.739,-0.567
955,0.872,-1.321,-0.583,-0.499,-0.4,-0.499,-1.349,-0.567
956,-1.503,0.755,-1.218,1.731,1.638,4.056,-1.349,1.758
957,-0.315,-1.321,-0.549,-0.499,-0.4,-0.262,0.739,-0.567
958,0.872,-1.321,-0.865,-0.499,-0.4,-0.496,-1.349,-0.567
959,-1.503,0.755,1.18,-0.499,-0.4,0.121,0.739,-0.567
960,-1.503,0.755,0.051,-0.499,-0.4,-0.127,-1.349,1.758
961,-1.503,-1.321,2.096,0.616,3.676,4.067,0.739,-0.567
962,0.872,-1.321,-0.442,-0.499,-0.4,-0.499,-1.349,-0.567
963,0.872,0.755,-0.654,-0.499,-0.4,-0.496,0.739,-0.567
964,0.872,-1.321,-0.09,-0.499,-0.4,-0.495,0.739,-0.567
965,-1.503,0.755,-0.125,-0.499,-0.4,-0.141,-1.349,1.758
966,-1.503,-1.321,0.333,-0.499,-0.4,3.146,-1.349,1.758
967,-1.503,0.755,0.157,-0.499,-0.4,3.146,-1.349,1.758
968,0.872,0.755,0.472,-0.499,-0.4,-0.493,0.739,-0.567
969,-1.503,-1.321,1.744,1.731,-0.4,-0.178,0.739,-0.567
970,-0.315,0.755,-0.019,-0.499,-0.4,-0.405,0.739,-0.567
971,0.872,-1.321,-0.442,-0.499,-0.4,-0.499,-1.349,-0.567
972,0.872,0.755,-1.712,0.616,0.619,-0.365,-1.349,1.758
973,-1.503,0.755,2.59,0.616,-0.4,3.33,0.739,-0.567
974,-1.503,0.755,1.321,-0.499,-0.4,-0.172,0.739,-0.567
975,0.872,0.755,-0.294,-0.499,-0.4,-0.496,0.739,-0.567
976,-0.315,0.755,-0.181,-0.499,-0.4,-0.446,-1.349,-0.567
977,0.872,0.755,-0.65,0.616,-0.4,-0.379,-1.349,1.758
978,0.872,-1.321,-0.231,-0.499,-0.4,-0.496,-1.349,-0.567
979,0.872,-1.321,-0.865,-0.499,-0.4,-0.493,0.739,-0.567
980,0.872,-1.321,-0.445,-0.499,-0.4,-0.499,-1.349,-0.567
981,-0.315,0.755,-1.994,0.616,0.619,-0.226,0.739,-0.567
982,0.872,-1.321,-0.583,0.616,-0.4,-0.389,0.739,-0.567
983,0.872,0.755,-1.736,-0.499,-0.4,-0.498,0.739,-0.567
984,-1.503,-1.321,-0.231,0.616,1.638,0.293,0.739,-0.567
985,0.872,0.755,-0.673,-0.499,-0.4,-0.493,0.739,-0.567
